Quantity,Customer Reference,Digi-Key Part Number
1,C1,732-12190-1-ND
5,"C2, C5, C19, C23, C27",1276-6455-1-ND
2,"C3, C25",478-1371-1-ND
1,C4,587-5425-1-ND
13,"C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18",445-C2012X7T2E104K125AACT-ND
1,C22,1276-1303-1-ND
1,C24,1276-1015-1-ND
1,C26,1276-1261-1-ND
2,"D1, D2",1727-4797-1-ND
7,"D3, D4, D5, D6, D7, D8, D9",BAV23SFSCT-ND
1,F1,490-8510-1-ND
2,"FB1, FB2",445-172907-1-ND
1,L1,587-4451-1-ND
1,Q1,FQT7N10LTFCT-ND
1,Q2,BC846A-7FDICT-ND
2,"Q3, Q4",MMBT3906LT1GOSCT-ND
1,R1,RHM4.7MAICT-ND
1,R3,RMCF0805FT100KCT-ND
1,R4,RNCP0805FTD10K0CT-ND
3,"R5, R12, R25",A106053CT-ND
1,R6,2019-RK73H2ATTD1213FCT-ND
5,"R7, R8, R9, R10, R24",RMCF0805FT22M0CT-ND
1,R11,A129767CT-ND
2,"R13, R19",RMCF0805FT100KCT-ND
1,R14,541-1.50MCCT-ND
1,R15,311-392KCRCT-ND
1,R16,YAG3361CT-ND
1,R17,RMCF0805FT499KCT-ND
1,R18,YAG1240CT-ND
1,R20,A126370CT-ND
1,R21,311-47.0KCRCT-ND
1,R22,RMCF0805FT20K0CT-ND
1,R23,311-3.16MCRCT-ND
1,R26,408-1556-1-ND
1,U1,MAX6008AEUR+TCT-ND
1,U2,296-9179-1-ND
1,U3,MAX4162EUK+TCT-ND
1,U4,296-32849-5-ND
1,U1 FOR 1.25V,MAX6006AEUR+TCT-ND
1,R14 FOR 1.25V,P357KDACT-ND
1,R23 FOR 1.25V,311-1.54MCRCT-ND
1,R20 EXPERIMENT,A126350CT-ND
1,R20 EXPERIMENT,A126361CT-ND
1,R20 EXPERIMENT,2019-RK73H2ATTD3903FCT-ND
1,R20 EXPERIMENT,311-180KCRCT-ND
1,R20 EXPERIMENT,2019-RK73H2ARTTD1473FCT-ND
