Designator ,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,150pF,C_0805_2012Metric,-150.622,-74.168,0,bottom
C3,1nF,C_0805_2012Metric,-128.5,-60,-90,bottom
C4,10uF,C_1210_3225Metric,-129.843,-71.3415,0,bottom
C10,1uF,C_0805_2012Metric,-133.57,-71.4415,-90,bottom
C15,1nF,C_0805_2012Metric,-147.5,-62,0,bottom
C19,0.1uF,C_0805_2012Metric,-140.462,-61.0385,180,bottom
C22,360pF,C_0805_2012Metric,-147.32,-74.8515,90,bottom
D2,BAS16J,D_SOD-323,-134.51,-59.75,180,bottom
Q2,BC846A,SOT-23,-143.95,-63,-90,bottom
Q3,MMDT3906,SOT-363_SC-70-6,-144.5,-66.75,180,bottom
R6,121k,R_0805_2012Metric,-131,-60,90,bottom
R11,33k,R_0805_2012Metric,-137.414,-59.436,90,bottom
R12,100,R_0805_2012Metric,-135.946,-71.4215,90,bottom
R13,100k,R_0805_2012Metric,-140.462,-58.674,0,bottom
R14,1M5,R_0805_2012Metric,-147.475,-64.05,180,bottom
R15,392k,R_0805_2012Metric,-147.5,-60,0,bottom
R16,1M,R_0805_2012Metric,-140.462,-68.072,180,bottom
R17,499k,R_0805_2012Metric,-140.462,-65.7375,0,bottom
R18,1k,R_0805_2012Metric,-140.462,-63.403,180,bottom
R19,100k,R_0805_2012Metric,-141.478,-71.12,-90,bottom
R20,560K,R_0805_2012Metric,-148.336,-71.12,90,bottom
R21,47k,R_0805_2012Metric,-141.986,-74.93,0,bottom
R22,20k,R_0805_2012Metric,-144.765,-74.8515,90,bottom
U1,MAX6008AEUR+T,SOT-23,-144.78,-71.12,180,bottom
U3,MAX4162,SOT-23-5,-157.25,-74.676,0,bottom
U4,CD14538BM,SOIC-16_3.9x9.9mm_P1.27mm,-132.842,-65.532,-90,bottom
