Ref,Val,Package,PosX,PosY,Rot,Side
"C1","150pF","C_0805_2012Metric",-24.384000,3.810000,0.000000,bottom
"C3","1nF","C_0805_2012Metric",-2.262000,17.978000,-90.000000,bottom
"C4","10uF","C_1210_3225Metric",-3.605000,6.636500,0.000000,bottom
"C19","0.1uF","C_0805_2012Metric",-13.512000,16.728000,180.000000,bottom
"C22","360pF","C_0805_2012Metric",-20.512000,3.126500,90.000000,bottom
"C23","1uF","C_0805_2012Metric",-7.332000,6.536500,-90.000000,bottom
"C24","1nF","C_0805_2012Metric",-21.262000,15.978000,0.000000,bottom
"D2","BAS16J","D_SOD-323",-8.012000,19.478000,180.000000,bottom
"G2","LOGO","HV warning",-37.962000,10.278000,180.000000,bottom
"Q2","BC846A","SOT-23",-17.712000,14.978000,-90.000000,bottom
"Q3","MMBT3906","SOT-23",-21.082000,10.668000,90.000000,bottom
"Q4","MMBT3906","SOT-23",-17.653000,10.668000,-90.000000,bottom
"R6","121k","R_0805_2012Metric",-4.762000,17.978000,90.000000,bottom
"R11","33k","R_0805_2012Metric",-10.762000,18.542000,90.000000,bottom
"R12","100","R_0805_2012Metric",-9.708000,6.556500,90.000000,bottom
"R13","100k","R_0805_2012Metric",-13.512000,19.228000,0.000000,bottom
"R14","1M5","R_0805_2012Metric",-21.237000,13.928000,180.000000,bottom
"R15","392k","R_0805_2012Metric",-21.762000,17.978000,0.000000,bottom
"R16","1M","R_0805_2012Metric",-14.224000,9.906000,180.000000,bottom
"R17","499k","R_0805_2012Metric",-14.224000,12.240500,0.000000,bottom
"R18","1k","R_0805_2012Metric",-14.224000,14.575000,180.000000,bottom
"R19","100k","R_0805_2012Metric",-15.512000,6.858000,-90.000000,bottom
"R20","470K","R_0805_2012Metric",-22.098000,6.858000,90.000000,bottom
"R21","47k","R_0805_2012Metric",-15.748000,3.048000,0.000000,bottom
"R22","20k","R_0805_2012Metric",-18.527000,3.126500,90.000000,bottom
"U1","MAX6008AEUR+T","SOT-23",-18.542000,6.858000,180.000000,bottom
"U3","MAX4162","SOT-23-5",-31.012000,3.302000,0.000000,bottom
"U4","CD14538BM","SOIC-16_3.9x9.9mm_P1.27mm",-6.604000,12.446000,-90.000000,bottom
