Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,150pF,C520084
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C6, C7, C8, C9",0805,13,0.1uF,C710458
"C19, C2, C23, C27, C4, C5",0805,6,10uF,C1713
C22,0805,1,1.5nF,C1717
C24,0805,1,10nF,C97905
C25,0805,1,2.2uF,C19110
C3,0805,1,10nF,C83170
"D1, D2",D_SOD-323,2,BAS16J,C282360
"D3, D4, D5, D6, D7, D8, D9",SOT-23,7,BAV23S,C151049
F1,0805,1,Polyfuse,C20978
"FB1, FB2",0805,2,74279220321,C515370
H1,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,1,Cathode,
"H2, H4",TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,2,Anode,
IC1,SOP65P400X80-8N,1,S-35770E01I-K8T2U,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J2,4208,1,4208,
L1,L_Taiyo-Yuden_MD-4040,1,4.7uH, C5289366
Q1,SOT-223-3_TabPin4,1,FQT7N10L,C154506
Q2,SOT-23,1,BC846A,C507907
"Q3, Q4",SOT-23,2,MMBT3906,C53444
R1,1206,1,4.99M,C488845
"R10, R7, R8, R9",0805,4,22M,C34719
R11,0805,1,33k, C17633
"R12, R25, R5",0805,3,100,C328380
"R13, R19, R3",0805,3,100k,C96346
R14,0805,1,357k,C865422
R15,0805,1,220k,C104108
R16,0805,1,1M,C107700
R17,0805,1,499k,C317482
R18,0805,1,1k,C95781
R20,0805,1,118K, C2999465
R21,0805,1,47k,C328397
R22,0805,1,12K,C17444
"R23, R27",0805,2,1.54M,C332788
R24,0805,1,22k,C352242
R4,0805,1,10K, C17414
R6,0805,1,121k,C17438
U1,SOT-23,1,TS4061AILT-1.25,C2157484
U2,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,C232776
U3,SOT-23-5,1,TLV27L1DBVT,
U33,SOT-353_SC-70-5,1,MAX9910EXK+T,C2057992
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CD14538BM,C2652506
two_pinheader1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x03_Male,
