Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,150pF,C_0805_2012Metric,12.2,9.4,270.0,bottom
C2,10uF,C_0805_2012Metric,2.9,17.8,270.0,bottom
C3,1nF,C_0805_2012Metric,17.57,1.095,0.0,top
C4,10uF,C_0805_2012Metric,9.15,3.35,270.0,bottom
C5,10uF,C_0805_2012Metric,3.4,17.365,-90.0,top
C6,0.1uF,C_0805_2012Metric,12.28,18.375,0.0,top
C7,0.1uF,C_0805_2012Metric,13.178,12.315,0.0,top
C8,0.1uF,C_0805_2012Metric,15.78,18.375,0.0,top
C9,0.1uF,C_0805_2012Metric,16.698333,12.315,0.0,top
C10,0.1uF,C_0805_2012Metric,19.27,18.355,0.0,top
C11,0.1uF,C_0805_2012Metric,20.218666,12.315,0.0,top
C12,0.1uF,C_0805_2012Metric,22.78,18.365,0.0,top
C13,0.1uF,C_0805_2012Metric,23.738999,12.315,0.0,top
C14,0.1uF,C_0805_2012Metric,26.31,18.355,0.0,top
C15,0.1uF,C_0805_2012Metric,27.259332,12.315,0.0,top
C16,0.1uF,C_0805_2012Metric,29.79,18.365,0.0,top
C17,0.1uF,C_0805_2012Metric,30.779665,12.315,0.0,top
C18,0.1uF,C_0805_2012Metric,33.27,18.365,0.0,top
C19,10uF,C_0805_2012Metric,11.37,6.845,180.0,top
C22,390pF,C_0805_2012Metric,20.05,1.8,270.0,bottom
C23,10uF,C_0805_2012Metric,22.8,1.095,180.0,bottom
C24,10nF,C_0805_2012Metric,29.12,7.345,180.0,bottom
C25,10nF,C_0805_2012Metric,23.4,14.065,90.0,bottom
C27,10uF,C_0805_2012Metric,11.57,6.345,0.0,bottom
D1,BAS16J,D_SOD-323,8.1,9.5,270.0,bottom
D2,BAS16J,D_SOD-323,30.82,2.095,90.0,top
D3,BAV23S,SOT-23,13.178,15.389,90.0,top
D4,BAV23S,SOT-23,16.7,15.365,90.0,top
D5,BAV23S,SOT-23,20.218666,15.365,90.0,top
D6,BAV23S,SOT-23,23.7,15.365,90.0,top
D7,BAV23S,SOT-23,27.2,15.365,90.0,top
D8,BAV23S,SOT-23,30.7,15.365,90.0,top
D9,BAV23S,SOT-23,34.2,15.365,90.0,top
F1,Polyfuse,R_0805_2012Metric,0.9,5.45,90.0,top
FB1,74279220321,R_0805_2012Metric,0.82,13.845,90.0,bottom
FB2,74279220321,R_0805_2012Metric,1.32,17.365,90.0,top
H1,Cathode,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,11.96,1.8,0.0,top
H2,Anode,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,37.36,5.61,90.0,top
H4,Anode,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,37.36,1.8,0.0,top
IC1,S-35770E01I-K8T2U,SOP65P400X80-8N,5.4,5.8,180.0,top
J1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,4.34,1.8,90.0,top
J2,4208,4208,3.3,7.4,90.0,bottom
L1,4.7uH,L_Taiyo-Yuden_MD-4040,7.8,17.265,-90.0,top
Q1,FQT7N10L,SOT-223-3_TabPin4,5.126,11.325,0.0,top
Q2,BC846A,SOT-23,22.82,4.345,90.0,bottom
Q3,MMBT3906,SOT-23,26.57,4.595,0.0,bottom
Q4,MMBT3906,SOT-23,30.5,1.845,180.0,bottom
R1,4.99M,R_1206_3216Metric,36.598,10.182,-90.0,top
R3,100K,R_0805_2012Metric,15.008,10.182,180.0,bottom
R4,10K,R_0805_2012Metric,10.1,9.4,270.0,bottom
R5,100,R_0805_2012Metric,0.82,17.345,270.0,bottom
R6,121k,R_0805_2012Metric,18.32,4.595,-90.0,top
R7,22M,R_0805_2012Metric,23.738999,9.845,180.0,top
R8,22M,R_0805_2012Metric,20.211998,9.845,180.0,top
R9,22M,R_0805_2012Metric,16.684999,9.845,180.0,top
R10,22M,R_0805_2012Metric,13.158,9.845,0.0,top
R11,33k,R_0805_2012Metric,14.85,2.15,90.0,top
R12,100,R_0805_2012Metric,15.35,4.65,180.0,bottom
R13,100k,R_0805_2012Metric,15.07,6.845,180.0,top
R14,357k,R_0805_2012Metric,21.612,8.15,180.0,bottom
R15,220k,R_0805_2012Metric,30.32,5.345,180.0,bottom
R16,1M,R_0805_2012Metric,25.32,7.345,0.0,bottom
R17,499k,R_0805_2012Metric,30.82,5.9325,-90.0,top
R18,1k,R_0805_2012Metric,15.07,4.845,180.0,top
R19,100k,R_0805_2012Metric,26.3,1.095,0.0,bottom
R20,118K,R_0805_2012Metric,20.6,10.341,180.0,bottom
R21,47k,R_0805_2012Metric,15.35,2.6,180.0,bottom
R22,20k,R_0805_2012Metric,18.05,1.8,270.0,bottom
R23,1.54M,R_0805_2012Metric,20.5,19.1,0.0,bottom
R24,22k,R_0805_2012Metric,17.1,19.1,0.0,bottom
R25,100,R_0805_2012Metric,14.9,7.45,90.0,bottom
R27,1.54M,R_0805_2012Metric,21.4,13.0,270.0,bottom
two_pinheader1,Conn_01x03_Male,PinHeader_1x02_P2.54mm_Vertical,37.36,15.77,0.0,top
U1,TS4061AILT-1.25,SOT-23,17.82,7.345,0.0,bottom
U2,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,8.57,15.6,90.0,bottom
U3,TLV27L1DBVT,SOT-23-5,18.5,16.4,180.0,bottom
U4,CD14538BM,SOIC-16_3.9x9.9mm_P1.27mm,24.57,3.845,90.0,top
U33,MAX9910EXK+T,SOT-353_SC-70-5,18.3,12.976,90.0,bottom
